"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server8",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/180128a5b39e75d75dfa60b9833d3d478f0f05db/A2_dstat.csv 5",,,,"Date:","23 Dec 2022 08:02:08 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1671782528,3707476,780747384,2157024,4900600,,,,,,,,0,0.080,0.260
1671782533,3695664,780791504,2157024,4868300,0.090,0.095,99.743,0,0,0,59.696,36352.120,4867.246,0,0,3676,4898,0.080,0.100,0.270
1671782538,3690572,780795156,2157024,4869740,0.010,0.030,99.916,0,0,0,475.207,324704.681,13769.790,0,0,3291,4552,0.070,0.100,0.260
1671782543,3686268,780797796,2157024,4871404,0.020,0.030,99.905,0,0,0,29.600,355901.844,10087.190,0,0,3214,4762,0.070,0.100,0.260
1671782548,3683284,780799916,2157024,4872268,0.035,0.010,99.920,0,0,0,6.400,271058.884,9179.037,0,0,2958,3663,0.060,0.090,0.260
1671782553,3681512,780801688,2157024,4872268,0.005,0,99.959,0,0,0,11.200,108196.529,4837.770,0,0,1894,2062,0.060,0.090,0.260
1671782558,3679092,780802572,2157024,4873804,0.020,0.015,99.916,0,0,0,4.000,246413.423,11386.484,0,0,3164,2564,0.050,0.090,0.260
1671782563,3677068,780804596,2157024,4873804,0.005,0.005,99.959,0,0,0,11.200,101634.587,7258.142,0,0,2625,1960,0.050,0.090,0.260
1671782568,3675792,780805864,2157024,4873812,0.015,0,99.931,0.005,0,0,832.807,605323.806,43254.172,0,0,5404,2039,0.040,0.090,0.260
1671782573,3674264,780807392,2157024,4873812,0.020,0.005,99.939,0,0,0,12.800,604018.889,43418.061,0,0,5256,1936,0.040,0.080,0.250
1671782578,3672980,780808676,2157024,4873812,0.015,0,99.931,0,0,0,13.600,606613.453,43348.747,0,0,5393,2057,0.040,0.080,0.250
1671782583,3671444,780810212,2157024,4873812,0.010,0,99.940,0,0,0,8.800,611513.665,43681.390,0,0,5347,1960,0.030,0.080,0.250
