"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server8",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/9e09cbb246cb918bf366a4b339f78c20ef570c1c/A2_dstat.csv 5",,,,"Date:","23 Dec 2022 08:23:43 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1671783823,3652896,780800576,2157032,4902108,,,,,,,,0,0.180,0.330
1671783828,3670076,780818376,2157032,4867136,0.244,0.174,99.551,0,0,0,61.283,36075.669,4337.994,0,0,3959,5336,0,0.180,0.330
1671783833,3669060,780817824,2157032,4868704,0.015,0.040,99.918,0,0,0,453.661,235415.487,9380.463,0,0,3404,4916,0,0.180,0.330
1671783838,3668560,780817076,2157032,4869952,0.010,0.025,99.917,0,0,0,21.600,291392.495,8377.341,0,0,2661,4135,0,0.170,0.320
1671783843,3669004,780815320,2157032,4871264,0.020,0,99.915,0,0,0,562.398,372384.883,10472.569,0,0,2758,4307,0,0.170,0.320
1671783848,3668812,780815460,2157032,4871316,0.015,0.005,99.900,0,0,0,17.600,248503.546,9323.028,0,0,3698,2180,0,0.170,0.320
1671783853,3667912,780816360,2157032,4871316,0.035,0.005,99.936,0,0,0,24.000,178416.978,6768.045,0,0,2048,2355,0,0.160,0.320
1671783858,3671968,780810320,2157032,4873300,0.030,0.030,99.932,0,0,0,12.800,678.182,1738.554,0,0,1071,2004,0,0.160,0.320
1671783863,3671204,780811076,2157032,4873308,0.015,0.010,99.943,0,0,0,12.028,621.249,108.052,0,0,1060,1996,0,0.160,0.310
1671783868,3669944,780812336,2157032,4873308,0.005,0.005,99.964,0,0,0,4.789,194.151,28.933,0,0,1036,1949,0,0.160,0.310
1671783873,3669180,780813100,2157032,4873308,0.005,0.005,99.960,0,0,0,13.600,5949.429,904.004,0,0,1125,2097,0,0.150,0.310
1671783878,3668076,780814108,2157032,4873404,0.010,0.010,99.975,0,0,0,10.400,11139.418,416.601,0,0,1081,2013,0,0.150,0.310
1671783883,3667056,780815124,2157032,4873408,0.020,0,99.955,0,0,0,8.800,104.800,32.400,0,0,1072,1975,0,0.150,0.310
1671783888,3665956,780816160,2157032,4873472,0.005,0.005,99.955,0,0,0,433.602,22257.102,666.803,0,0,1180,2177,0,0.140,0.310
1671783893,3665444,780816476,2157032,4873668,0.005,0.005,99.965,0,0,0,10.400,44174.885,1388.596,0,0,1295,2298,0,0.140,0.300
1671783898,3665688,780815784,2157032,4874116,0.005,0.010,99.960,0,0,0,12.800,70080.372,2345.199,0,0,1576,2592,0,0.140,0.300
1671783903,3664672,780816800,2157032,4874116,0.010,0.020,99.945,0,0,0,7.200,20859.888,1409.206,0,0,1238,2098,0,0.140,0.300
1671783908,3670952,780809664,2157032,4874972,0.105,0.180,99.642,0.005,0,0,56.798,176963.939,10350.504,0,0,4278,6806,0,0.130,0.300
1671783913,3669092,780811456,2157032,4875040,0.035,0.030,99.908,0,0,0,74.402,13687.591,8465.642,0,0,1749,2685,0.080,0.150,0.300
1671783918,3666280,780813244,2157032,4876064,0.010,0.005,99.915,0,0,0,27.200,120041.032,3587.595,0,0,2559,4214,0.070,0.150,0.300
1671783923,3665444,780813504,2157032,4876640,0.015,0.015,99.955,0,0,0,618.403,223115.626,6754.231,0,0,1779,2907,0.070,0.140,0.300
1671783928,3663860,780815024,2157032,4876704,0.005,0,99.945,0,0,0,13.600,17839.354,599.598,0,0,1122,2073,0.060,0.140,0.300
1671783933,3662252,780815060,2157032,4878276,0.035,0.025,99.910,0,0,0,15.200,268590.182,8117.036,0,0,3063,4500,0.060,0.140,0.290
1671783938,3660152,780816840,2157032,4878596,0.015,0.010,99.959,0,0,0,10.400,138752.718,4207.167,0,0,1447,2439,0.050,0.140,0.290
1671783943,3659516,780817344,2157032,4878728,0.040,0.065,99.876,0,0,0,31.197,26363.627,836.125,0,0,1741,3026,0.050,0.130,0.290
1671783948,3655892,780819400,2157032,4880296,0.005,0.015,99.924,0,0,0,74.407,319916.472,9807.722,0,0,3290,4692,0.040,0.130,0.290
1671783953,3654312,780820660,2157032,4880616,0.025,0.015,99.920,0.010,0,0,808.800,130383.826,3995.001,0,0,1858,3173,0.040,0.130,0.290
1671783958,3651740,780821120,2157032,4882728,0.020,0.010,99.900,0,0,0,13.600,392013.851,12055.583,0,0,3576,5162,0.040,0.130,0.280
1671783963,3672724,780799844,2157032,4883020,0.180,0.090,99.665,0,0,0,24.797,95970.561,5384.637,0,0,3045,3887,0.030,0.120,0.280
1671783968,3671100,780801160,2157032,4883328,0.025,0.015,99.936,0,0,0,223.223,57758.276,2942.510,0,0,1767,2879,0.030,0.120,0.280
1671783973,3671188,780800524,2157032,4883876,0.005,0.005,99.939,0,0,0,46.400,115639.237,5582.963,0,0,1913,3003,0.030,0.120,0.280
1671783978,3670436,780800860,2157032,4884292,0.010,0.015,99.936,0,0,0,122.401,34836.395,1861.210,0,0,1679,2673,0.020,0.120,0.280
1671783983,3670684,780799972,2157032,4884932,0.015,0.015,99.951,0,0,0,450.402,196120.059,8455.046,0,0,2006,3175,0.020,0.120,0.270
1671783988,3670692,780799356,2157032,4885540,0.015,0.010,99.929,0,0,0,12.000,144815.244,4182.772,0,0,2085,3426,0.020,0.110,0.270
1671783993,3668852,780800716,2157032,4886020,0.005,0.010,99.961,0,0,0,14.400,89515.355,2863.818,0,0,1375,2493,0.020,0.110,0.270
1671783998,3668156,780800068,2157032,4887364,0.020,0.025,99.899,0,0,0,8.000,405058.165,13158.708,0,0,3728,4278,0.020,0.110,0.270
1671784003,3668196,780800020,2157032,4887372,0.010,0.010,99.946,0,0,0,14.400,116043.482,5129.639,0,0,2842,2139,0.020,0.110,0.270
1671784008,3665720,780801184,2157032,4888684,0.025,0.010,99.939,0,0,0,12.800,231421.273,12462.518,0,0,2134,2251,0.010,0.110,0.270
1671784013,3663760,780802472,2157032,4889356,0.005,0.010,99.935,0.005,0,0,967.202,386615.773,34912.270,0,0,5353,2211,0.010,0.100,0.260
1671784018,3662812,780802844,2157032,4889932,0.015,0.010,99.945,0,0,0,9.600,279652.008,18605.174,0,0,2442,2920,0.010,0.100,0.260
1671784023,3661296,780804356,2157032,4889936,0.030,0.015,99.946,0,0,0,12.000,133579.362,8261.859,0,0,2279,2455,0.010,0.100,0.260
1671784028,3659412,780806120,2157032,4890056,0.020,0.010,99.939,0,0,0,14.400,36006.090,1551.987,0,0,1191,2223,0.010,0.100,0.260
1671784033,3658024,780807408,2157032,4890156,0.005,0.005,99.936,0,0,0,25.600,20490.952,722.605,0,0,1215,2381,0.010,0.100,0.260
1671784038,3656512,780808920,2157032,4890156,0.010,0,99.964,0,0,0,17.600,173.599,25.600,0,0,1023,2058,0.010,0.090,0.260
1671784043,3655340,780809964,2157032,4890284,0.010,0.020,99.960,0,0,0,309.601,27289.076,817.602,0,0,1147,2207,0.010,0.090,0.260
1671784048,3654868,780810244,2157032,4890476,0,0.005,99.955,0,0,0,23.200,14741.147,501.398,0,0,1289,2415,0.010,0.090,0.250
1671784053,3653152,780811764,2157032,4890672,0.015,0.015,99.950,0,0,0,6.400,40836.306,1338.203,0,0,1283,2396,0,0.090,0.250
1671784058,3652268,780812072,2157032,4891248,0.005,0.005,99.940,0,0,0,13.600,107591.284,3214.385,0,0,1838,3149,0,0.090,0.250
1671784063,3650964,780812828,2157032,4891796,0.010,0.015,99.941,0,0,0,11.200,110014.792,3257.823,0,0,1737,2964,0,0.080,0.250
1671784068,3648500,780814364,2157032,4892724,0.010,0.030,99.924,0,0,0,13.600,208360.917,6291.567,0,0,2411,3737,0,0.080,0.250
1671784073,3645696,780814892,2157032,4895000,0.025,0.025,99.884,0,0,0,11.200,501204.491,14886.884,0,0,4014,5880,0,0.080,0.250
1671784078,3642788,780815496,2157032,4897304,0.050,0.025,99.871,0.005,0,0,1383.210,515333.110,15276.110,0,0,4101,5958,0,0.080,0.250
1671784083,3640204,780815776,2157032,4899608,0.030,0.035,99.886,0,0,0,17.600,509826.671,15144.309,0,0,4142,5893,0,0.080,0.240
1671784088,3639328,780814296,2157032,4901964,0.045,0.060,99.870,0,0,0,10.400,411713.235,12488.353,0,0,4333,5983,0,0.080,0.240
1671784093,3659028,780794220,2157032,4902340,0.175,0.095,99.644,0,0,0,43.995,142713.530,5898.361,0,0,3270,4159,0,0.080,0.240
1671784098,3656292,780796804,2157032,4902484,0.015,0.020,99.970,0,0,0,229.624,59512.437,2160.226,0,0,1451,2660,0,0.070,0.240
1671784103,3655532,780797560,2157032,4902488,0.010,0.005,99.951,0,0,0,117.601,147.801,43.000,0,0,1105,2156,0,0.070,0.240
1671784108,3654776,780798316,2157032,4902488,0.005,0,99.975,0,0,0,15.260,235.720,44.975,0,0,1043,2134,0,0.070,0.240
1671784113,3654020,780799072,2157032,4902488,0.010,0.005,99.966,0.005,0,0,977.675,306.421,42.863,0,0,1076,2093,0,0.070,0.240
1671784118,3653012,780800080,2157032,4902488,0.010,0.010,99.939,0,0,0,11.991,104.726,0,0,0,1045,2234,0,0.070,0.230
1671784123,3652248,780800836,2157032,4902496,0.010,0.010,99.961,0,0,0,12.800,147.802,30.200,0,0,1098,2101,0,0.070,0.230
1671784128,3651236,780801844,2157032,4902500,0.005,0,99.970,0,0,0,31.200,102.600,0,0,0,1167,2360,0,0.070,0.230
1671784133,3854300,780598660,2157032,4902620,2.581,0.150,97.110,0,0,0,125.659,2179.419,98.046,0,0,5816,25406,0,0.060,0.230
1671784138,3925744,780527216,2157032,4902620,2.588,0.080,97.242,0,0,0,28.783,1337.807,1137.526,0,0,4887,18777,0,0.060,0.230
1671784143,3922156,780530804,2157032,4902620,0.095,0.020,99.829,0,0,0,20.002,710.066,973.891,0,0,1797,4114,0,0.060,0.230
1671784148,3975168,780477720,2157032,4902692,1.115,0.145,98.652,0,0,0,30.399,159903.931,35761.177,0,0,7184,31359,0,0.060,0.220
1671784153,3975352,780477532,2157032,4902696,0.140,0.030,99.746,0,0,0,37.598,1026.357,1177.351,0,0,2481,9052,0,0.060,0.220
1671784158,4512292,779940592,2157032,4902696,17.662,5.614,74.191,0,0,0,28.019,20394241.109,17333958.760,0,0,284426,1625080,0.320,0.120,0.240
1671784163,4697000,779755876,2157032,4902704,14.079,6.115,76.537,0,0,0,15.199,26138334.873,22057779.408,0,0,299830,1758505,0.940,0.260,0.290
1671784168,4787212,779665664,2157032,4902704,7.165,1.880,89.915,0,0,0,18.400,4298907.545,3765276.986,0,0,134468,477346,0.940,0.270,0.290
1671784173,4786996,779665880,2157032,4902704,3.780,1.995,93.118,0,0,0,15.200,1969417.289,1806630.838,0,0,148738,441703,0.870,0.260,0.290
1671784178,4852472,779600404,2157032,4902704,3.620,1.975,93.012,0,0,0,12.800,2439877.126,2237654.650,0,0,145290,436218,0.880,0.280,0.290
1671784183,4888696,779564176,2157032,4902708,3.687,2.158,93.083,0,0,0,12.791,2417709.070,2220135.851,0,0,145171,434423,1.050,0.320,0.310
1671784188,4841900,779610968,2157032,4902712,3.950,2.075,92.786,0,0,0,14.400,2404023.529,2211517.181,0,0,146528,435074,1.200,0.370,0.320
1671784193,4819888,779632980,2157032,4902712,3.327,1.781,93.642,0,0,0,16.011,2492777.869,2278065.538,0,0,145730,442640,1.190,0.380,0.330
1671784198,4785088,779667780,2157032,4902712,4.015,2.005,92.864,0,0,0,16.000,2397494.625,2211005.890,0,0,143960,427351,1.170,0.390,0.330
1671784203,4796608,779656260,2157032,4902712,4.055,1.780,92.908,0,0,0,12.800,2445943.987,2254731.737,0,0,144132,437222,1.320,0.430,0.340
1671784208,4794592,779658188,2157032,4902800,3.719,1.865,93.086,0,0,0,13.597,2484048.168,2285900.095,0,0,144989,437110,1.290,0.440,0.350
1671784213,4826180,779626592,2157032,4902808,3.825,1.840,93.085,0,0,0,45.723,1993229.592,1841994.660,0,0,147657,443696,1.430,0.480,0.360
1671784218,4821656,779631116,2157032,4902808,4.015,1.880,92.924,0,0,0,13.567,2442824.853,2247093.225,0,0,145617,436347,1.480,0.510,0.370
1671784223,4825188,779627584,2157032,4902808,3.960,1.760,93.012,0,0,0,16.000,2462156.626,2260091.030,0,0,144884,439015,1.520,0.530,0.380
1671784228,4826588,779626184,2157032,4902808,3.205,1.915,93.550,0,0,0,10.400,2519496.286,2311384.170,0,0,146433,445081,1.480,0.540,0.380
1671784233,4825760,779627008,2157032,4902812,3.905,1.785,92.989,0,0,0,0,2437567.274,2230791.846,0,0,142149,430644,1.360,0.530,0.380
1671784238,4824960,779627808,2157032,4902812,3.403,2.089,93.478,0,0,0,16.788,2490793.777,2289692.044,0,0,148672,449092,1.410,0.560,0.390
1671784243,4827652,779625112,2157032,4902816,4.168,1.976,92.698,0,0,0,12.009,2457275.320,2245606.444,0,0,145633,438290,1.380,0.560,0.390
1671784248,4836332,779616432,2157032,4902816,3.275,1.905,93.589,0,0,0,18.400,2521005.345,2307372.325,0,0,146517,451628,1.430,0.590,0.400
1671784253,4852836,779599924,2157032,4902820,4.342,1.824,92.689,0,0,0,12.791,2452260.163,2258174.051,0,0,144848,440416,1.550,0.630,0.420
1671784258,4843376,779609384,2157032,4902820,3.151,1.771,93.704,0,0,0,16.806,2000134.649,1840509.633,0,0,145285,443231,1.430,0.620,0.410
1671784263,4860820,779591936,2157032,4902824,4.316,1.991,92.497,0,0,0,12.804,2482833.785,2278984.338,0,0,146300,441881,1.710,0.690,0.440
1671784268,4869864,779582840,2157032,4902876,3.120,1.935,93.715,0,0,0,14.401,2520018.921,2315810.885,0,0,144631,442519,1.660,0.700,0.440
1671784273,4848148,779604556,2157032,4902876,3.278,1.974,93.640,0,0,0,24.788,2466963.044,2267190.254,0,0,145338,439481,1.520,0.680,0.440
1671784278,4860464,779592232,2157032,4902884,4.482,2.241,92.155,0,0,0,23.209,2465885.686,2268935.579,0,0,145008,437361,1.480,0.690,0.440
1671784283,4842676,779610020,2157032,4902884,3.185,1.750,93.793,0,0,0,12.800,2481963.688,2275781.632,0,0,149875,443079,1.600,0.730,0.460
1671784288,4847976,779604720,2157032,4902884,2.900,1.735,93.893,0,0,0,14.400,2552516.960,2349738.723,0,0,148143,456072,1.560,0.730,0.460
1671784293,4867872,779584820,2157032,4902888,4.607,1.871,92.331,0,0,0,11.204,2514262.728,2307723.474,0,0,149591,448252,1.510,0.740,0.460
1671784298,4857820,779594872,2157032,4902888,3.294,1.809,93.787,0,0,0,15.194,2460619.499,2268439.062,0,0,143916,436957,1.630,0.780,0.480
1671784303,4842204,779610484,2157032,4902892,3.330,1.890,93.628,0,0,0,12.799,2020904.078,1857470.776,0,0,147566,447946,1.740,0.810,0.490
1671784308,4828388,779624300,2157032,4902892,3.144,1.674,93.881,0,0,0,19.992,2529590.984,2321639.334,0,0,147894,453990,1.920,0.870,0.510
1671784313,4892380,779560308,2157032,4902892,4.557,2.056,92.216,0,0,0,10.405,2476039.316,2262342.922,0,0,144740,434220,1.930,0.890,0.520
1671784318,4880424,779572260,2157032,4902896,3.345,1.900,93.636,0,0,0,16.800,2444344.376,2249563.444,0,0,146019,438104,1.770,0.870,0.520
1671784323,4880776,779571904,2157032,4902900,3.240,2.050,93.571,0,0,0,13.598,2531434.929,2326596.713,0,0,146434,449655,1.710,0.870,0.520
1671784328,4881680,779570944,2157032,4902956,3.351,1.995,93.419,0,0,0,16.803,2543582.347,2344167.066,0,0,152461,450398,1.890,0.920,0.540
1671784333,4918128,779534496,2157032,4902956,4.736,1.869,92.213,0,0,0,27.978,2455812.125,2254450.143,0,0,142685,431207,2.140,0.990,0.560
1671784338,4933796,779518828,2157032,4902956,3.438,1.981,93.388,0,0,0,16.812,2481785.050,2258958.366,0,0,146281,442976,2.210,1.030,0.570
1671784343,4944700,779507916,2157032,4902964,3.535,1.995,93.497,0,0,0,17.599,2016866.796,1849704.381,0,0,146760,447129,2.110,1.030,0.580
1671784348,4959020,779493596,2157032,4902964,3.340,1.860,93.534,0,0,0,16.000,2540856.002,2334249.722,0,0,145681,442516,2.190,1.060,0.590
1671784353,4952948,779499668,2157032,4902964,4.780,1.930,92.113,0,0,0,15.201,2484197.269,2277882.937,0,0,145977,445257,2.090,1.060,0.590
1671784358,4960760,779491856,2157032,4902964,3.145,1.880,93.705,0,0,0,12.800,2505365.828,2297300.146,0,0,146395,446295,2,1.060,0.600
1671784363,4957512,779495100,2157032,4902968,3.290,1.925,93.730,0,0,0,12.800,2427725.401,2235373.870,0,0,142268,432085,2.320,1.140,0.620
1671784368,4950212,779502400,2157032,4902968,3.405,1.885,93.650,0,0,0,15.199,2520308.785,2309313.734,0,0,148360,446217,2.300,1.150,0.630
1671784373,4990992,779461616,2157032,4902972,3.430,1.900,93.514,0,0,0,17.601,2544937.923,2322055.984,0,0,149432,447361,2.270,1.170,0.640
1671784378,5068908,779383700,2157032,4902972,3.438,2.054,93.305,0,0,0,15.989,2546741.390,2335462.443,0,0,148653,451365,2.170,1.160,0.640
1671784383,5155064,779297544,2157032,4902972,4.919,1.942,91.722,0,0,0,12.811,2544807.586,2323211.234,0,0,147022,450258,4.240,1.610,0.790
1671784388,5188636,779263916,2157032,4903028,3.289,1.864,93.607,0,0,0,19.193,1980398.300,1819186.646,0,0,143232,432471,4.220,1.650,0.810
1671784393,5208352,779244200,2157032,4903028,3.314,1.965,93.525,0,0,0,25.596,2519249.170,2304065.559,0,0,147084,447679,3.880,1.620,0.800
1671784398,5176092,779276456,2157032,4903032,3.444,1.849,93.700,0,0,0,18.393,2503180.021,2296450.876,0,0,145143,441250,3.570,1.600,0.800
1671784403,5162656,779289888,2157032,4903036,3.292,2.046,93.559,0,0,0,16.011,2512541.091,2282979.641,0,0,146988,446509,3.520,1.620,0.810
1671784408,5160044,779292500,2157032,4903036,4.960,1.915,92.032,0,0,0,20.000,2484969.493,2289209.100,0,0,145708,445185,3.480,1.640,0.820
1671784413,5141476,779311068,2157032,4903036,3.495,2.095,93.433,0,0,0,13.600,2523450.740,2311370.697,0,0,149905,445852,3.280,1.630,0.820
1671784418,5150840,779301704,2157032,4903036,3.295,1.890,93.715,0,0,0,12.800,2499702.099,2306566.597,0,0,144079,436445,3.420,1.690,0.850
1671784423,5149716,779302820,2157032,4903044,3.393,1.804,93.826,0,0,0,16.788,2427741.770,2230624.868,0,0,143905,439652,3.230,1.680,0.850
1671784428,5142936,779309596,2157032,4903048,3.337,1.806,93.746,0,0,0,17.612,1991958.142,1830407.475,0,0,145682,441823,3.370,1.730,0.870
1671784433,5142280,779310252,2157032,4903048,3.230,1.875,93.583,0,0,0,20.000,2507197.842,2304098.310,0,0,146422,443232,3.180,1.720,0.870
1671784438,5148476,779304056,2157032,4903048,3.404,1.894,93.494,0,0,0,11.997,2517550.589,2304497.402,0,0,147542,447918,3.160,1.740,0.880
