"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server6",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/9e09cbb246cb918bf366a4b339f78c20ef570c1c/A4_dstat.csv 5",,,,"Date:","23 Dec 2022 08:23:43 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1671783823,3236980,762774944,1936524,23259044,,,,,,,,0.150,0.400,0.580
1671783828,3239364,762807656,1936524,23223960,0.380,0.185,99.368,0,0,0,55.138,7917.060,3689.833,0,0,4042,5090,0.220,0.410,0.580
1671783833,3237140,762809656,1936524,23224184,0.010,0.010,99.972,0,0,0,208.026,54158.916,2405.498,0,0,1516,2481,0.200,0.410,0.580
1671783838,3235580,762810960,1936524,23224440,0,0.005,99.961,0,0,0,32.800,57882.225,2940.032,0,0,1469,2358,0.190,0.400,0.570
1671783843,3235824,762810716,1936524,23224440,0.015,0.010,99.945,0,0,0,11.200,1309.202,56.000,0,0,1534,2412,0.170,0.390,0.570
1671783848,3235320,762810620,1936524,23225040,0.015,0.020,99.945,0,0,0,173.600,114349.840,5462.792,0,0,1316,2296,0.160,0.380,0.560
1671783853,3235916,762809416,1936524,23225648,0.035,0.005,99.924,0,0,0,20.000,46873.753,2440.166,0,0,2083,3180,0.140,0.380,0.560
1671783858,3236068,762808816,1936524,23226096,0.005,0.005,99.951,0,0,0,222.403,184244.016,7541.707,0,0,1626,2617,0.130,0.370,0.560
1671783863,3239028,762804568,1936524,23227384,0.045,0.010,99.910,0,0,0,16.800,270015.504,7500.564,0,0,3016,3643,0.120,0.370,0.550
1671783868,3238404,762805192,1936524,23227384,0,0,99.976,0,0,0,13.600,138591.521,5111.827,0,0,1546,1902,0.110,0.360,0.550
1671783873,3239952,762802904,1936528,23228120,0.010,0.015,99.940,0,0,0,269.600,242369.152,10027.798,0,0,2815,2126,0.100,0.350,0.550
1671783878,3240244,762801716,1936528,23229016,0.010,0,99.950,0,0,0,15.200,268929.193,15948.552,0,0,3013,2080,0.090,0.350,0.540
1671783883,3239820,762801724,1936528,23229432,0.010,0.015,99.935,0,0,0,328.000,520763.417,33025.226,0,0,4571,1914,0.090,0.340,0.540
1671783888,3239948,762801564,1936528,23229464,0.005,0,99.965,0.005,0,0,14.400,193569.626,12016.026,0,0,2597,1909,0.080,0.330,0.540
1671783893,3241084,762799460,1936528,23230432,0.020,0.005,99.940,0,0,0,12.800,228132.446,10870.002,0,0,2306,2717,0.070,0.330,0.540
1671783898,3242692,762796892,1936528,23231392,0.015,0.020,99.939,0,0,0,12.800,210030.004,6245.753,0,0,2293,3381,0.070,0.320,0.530
